FR ID,Requirement summary,Module,Priority,Test Case ID,Status,Tester,Date
FR-AUTH-01,Email + password login via Breeze with bcrypt hashing,AUTH,M,,,,
FR-AUTH-02,Exactly four roles stored on users.role,AUTH,M,,,,
FR-AUTH-03,Role middleware scopes route groups; wrong role gets 403,AUTH,M,,,,
FR-AUTH-04,Login redirects each role to its own dashboard,AUTH,M,,,,
FR-AUTH-05,Staff accounts seeded only; no public staff registration,AUTH,M,,,,
FR-AUTH-06,Admin queries filtered server-side by managed_college_id,AUTH,M,,,,
FR-AUTH-07,Active/inactive status; inactive users cannot log in,AUTH,S,,,,
FR-AUTH-08,Login page uses two-panel layout with illustration,AUTH,S,,,,
FR-AUTH-09,OTP-based password recovery and change flows,AUTH,M,,,,
FR-REG-01,Four-step registration wizard with top progress bar,REG,M,,,,
FR-REG-02,Step 1 consent gate stores privacy_consent_at timestamp,REG,M,,,,
FR-REG-03,Step 2 captures and server-validates personal information,REG,M,,,,
FR-REG-04,Step 3 verifies email via 6-digit OTP,REG,M,,,,
FR-REG-05,OTP attempts rate-limited; resend invalidates prior code,REG,S,,,,
FR-REG-06,Step 4 links ID by in-browser QR match,REG,M,,,,
FR-REG-07,Completing or skipping Step 4 logs student in,REG,M,,,,
FR-REG-08,Abandoned registration before Step 3 creates no account,REG,M,,,,
FR-STU-01,Dashboard shows three stat cards plus activity timeline,STU,M,,,,
FR-STU-02,Book appointment: service picker plus month calendar,STU,M,,,,
FR-STU-03,Day marked FULL when non-cancelled count meets capacity,STU,M,,,,
FR-STU-04,Confirm booking modal creates appointment with reference,STU,M,,,,
FR-STU-05,Reject duplicate same-service same-date booking in-page,STU,M,,,,
FR-STU-06,Students can cancel own scheduled appointments before date,STU,S,,,,
FR-STU-07,My Records lists visits with record detail modal,STU,M,,,,
FR-STU-08,Student never sees Fit/Unfit on the kiosk,STU,M,,,,
FR-STU-09,"My ID & Profile: QR, edit modal, college transfer",STU,M,,,,
FR-STU-10,Late QR linking from My ID screen,STU,M,,,,
FR-STU-11,Kiosk Tutorial page plus first-booking prompt,STU,S,,,,
FR-ADM-01,"Admin dashboard: scope banner, four stat cards, table",ADM,S,,,,
FR-ADM-02,"New batch request requires reason, service, students",ADM,M,,,,
FR-ADM-03,Student multi-select limited to admin's college,ADM,M,,,,
FR-ADM-04,Submit creates batch plus one pivot row per student,ADM,M,,,,
FR-ADM-05,Batch tracking lists the college's requests,ADM,M,,,,
FR-ADM-06,Server-side blocks cross-college include or read,ADM,M,,,,
FR-DIRA-01,Director sees all batches; approve/reject on pending,DIR-A,M,,,,
FR-DIRA-02,Approve picks date; transactional per-student appointments,DIR-A,M,,,,
FR-DIRA-03,Generated appointments appear in student lists indistinguishably,DIR-A,M,,,,
FR-DIRA-04,Reject sets status rejected and creates no appointments,DIR-A,M,,,,
FR-DIRA-05,Decided batch rows are immutable,DIR-A,M,,,,
FR-DIRA-06,Batch approval bypasses capacity but warns Director,DIR-A,S,,,,
FR-KSK-01,Welcome screen with QR target and focused scanner input,KSK,M,,,,
FR-KSK-02,Email login screen with on-screen virtual keyboard,KSK,M,,,,
FR-KSK-03,Identity Confirm screen with student details,KSK,M,,,,
FR-KSK-03a,Walk-in check when no appointment booked today,KSK,S,,,,
FR-KSK-04,Per-session privacy consent; decline resets to Welcome,KSK,M,,,,
FR-KSK-05,Four-step vitals sequence with progress dots,KSK,M,,,,
FR-KSK-06,Manual entry first-class on every vital step,KSK,M,,,,
FR-KSK-07,Web Serial sensor capture degrades gracefully to manual,KSK,M,,,,
FR-KSK-08,Client and server plausibility validation of vitals,KSK,M,,,,
FR-KSK-09,BMI computed from height and weight not entered,KSK,M,,,,
FR-KSK-10,Nine-system questionnaire plus pregnancy/LMP question,KSK,M,,,,
FR-KSK-11,Review screen shows vitals and questionnaire before submit,KSK,M,,,,
FR-KSK-12,Submit transactionally creates visit plus 1:1 rows,KSK,M,,,,
FR-KSK-13,Complete screen auto-resets to Welcome after 12 seconds,KSK,M,,,,
FR-KSK-14,Kiosk never displays Fit/Unfit or clinical interpretation,KSK,M,,,,
FR-KSK-15,Idle timeout at 90 seconds discards session,KSK,S,,,,
FR-KSK-16,Discreet staff exit via nurse authentication,KSK,S,,,,
FR-NRS-01,Live Queue lists captured visits oldest-first (FCFS),NRS,M,,,,
FR-NRS-02,Queue refreshes by polling every 3-5 seconds,NRS,M,,,,
FR-NRS-03,"Encode Result shows vitals, answers, identity; sets result",NRS,M,,,,
FR-NRS-04,Save & Close creates clearance; encoding is idempotent,NRS,M,,,,
FR-NRS-05,Preview & Print renders official form and prints,NRS,M,,,,
FR-NRS-06,Nurse nav includes Enable Kiosk Mode,NRS,M,,,,
FR-NRS-07,Encoding marks linked appointment completed,NRS,S,,,,
FR-NRS-08,Captured visits persist indefinitely until encoded,NRS,M,,,,
FR-PRT-01,Print view reproduces official form field-for-field,PRT,M,,,,
FR-PRT-02,"Form populates identity, vitals, result, dates, notes",PRT,M,,,,
FR-PRT-03,Respiratory rate intentionally left blank,PRT,M,,,,
FR-PRT-04,Physician block pre-printed with blank signature line,PRT,M,,,,
FR-PRT-05,Print CSS fits one page and suppresses app chrome,PRT,M/C,,,,
FR-ANL-01,Director dashboard KPI cards plus two preview panels,ANL,M,,,,
FR-ANL-02,Medical Cases by College stacked bar chart,ANL,M,,,,
FR-ANL-03,Summary matrix: 8 systems by 12 colleges plus totals,ANL,M,,,,
FR-ANL-04,By-Sex donut of encoded records with center total,ANL,M,,,,
FR-ANL-05,Flagged Anomalies screen with stat cards and table,ANL,M,,,,
FR-ANL-06,Export CSV on Analytics and Flagged Anomalies,ANL,S,,,,
FR-ANL-07,Analytics compute from encoded records only,ANL,M,,,,
FR-ANL-08,Cases by Medical System horizontal bar chart,ANL,M,,,,
FR-HW-01,MCU streams combined reading line over USB serial,HW,M,,,,
FR-HW-02,Kiosk reads MCU via Web Serial in secure context,HW,M,,,,
FR-HW-03,"Sensors: ultrasonic, load cell, IR temp, serial BP",HW,M,,,,
FR-HW-04,Week-1 spike validates Web Serial and BP serial,HW,M,,,,
FR-HW-05,Kiosk handles serial disconnect/reconnect without reload,HW,S,,,,
FR-HW-06,Physical enclosure mounts all hardware with one power feed,HW,S,,,,
FR-HW-07,Defense-day kit with spares and manual-entry drill,HW,S,,,,
